District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Abby Kelley Foster Charter Public (District),4450000,9,37,56,47,31,15,4,199
Abington,10000,20.1,38.3,58.3,77.6,56.9,32,8,291.1
Academy Of the Pacific Rim Charter Public (District),4120000,18.5,28.5,33.4,10,5.8,4.7,2.3,103.2
Acton-Boxborough,6000000,24.7,82.9,122.1,189.5,190.8,114.2,24.4,748.5
Acushnet,30000,8,11,22,32.4,33.9,15,2.9,125.2
Advanced Math and Science Academy Charter (District),4300000,5.6,23.5,25.5,17.6,24.1,27.6,3.2,127.1
Agawam,50000,26.5,59.7,120.8,149.2,144.6,87.7,18.3,606.8
Alma del Mar Charter School (District),4090000,29,76.5,37.9,17,17,3,0,180.4
Amesbury,70000,11,37.8,67.6,63.9,81.8,52.6,12.6,327.3
Amherst,80000,15,40.6,45.4,60.5,59.6,50.8,16.2,288.2
Amherst-Pelham,6050000,11,33,46.4,54,63.4,50.6,20.5,278.9
Andover,90000,46,92.9,159.5,200.1,220.6,168.3,47,934.4
Argosy Collegiate Charter School (District),35090000,8.1,25,23.7,16.4,11.2,4.1,2.1,90.6
Arlington,100000,58,203.5,160.7,192.5,188,100.6,33.1,936.3
Ashburnham-Westminster,6100000,12.5,34.6,63.9,78.4,65.3,44.4,9.9,309
Ashland,140000,16,60.3,62.6,80.2,92.2,55.6,12,379
Assabet Valley Regional Vocational Technical,8010000,8,12,41.1,41,39.5,23.5,5.7,170.8
Athol-Royalston,6150000,7,38.8,42.7,40.5,47.3,41.8,9.2,227.2
Atlantis Charter (District),4910000,25.4,39,45.4,48,21,19,4,201.8
Attleboro,160000,35,119.8,145.6,184.3,175.7,104.1,20.4,784.8
Auburn,170000,22.6,40.7,74.3,76.1,82.7,47.4,10,353.8
Avon,180000,5,18.6,32.1,20.2,29.2,14.5,6.3,126
Ayer Shirley School District,6160000,13.4,30.5,52.1,54.1,59.5,40,18.4,268
Barnstable,200000,38,104.5,155.8,166.8,212.4,160.1,46.8,884.3
Baystate Academy Charter Public School (District),35020000,9,22.4,7.9,16,9.7,8,2.9,75.9
Bedford,230000,20.6,68.1,91.6,98.5,98.4,58.4,4.5,440.2
Belchertown,240000,8.5,23.6,53.3,76.2,82.4,49.8,18.1,311.9
Bellingham,250000,16.9,51.1,56.1,78.5,77.3,50.4,14.1,344.3
Belmont,260000,18.2,72.2,110.4,165.5,91.4,58.1,21.5,537.4
Benjamin Banneker Charter Public (District),4200000,6,7,14,12,4,6,4,53
Benjamin Franklin Classical Charter Public (District),4470000,6,19.3,31.5,27.6,30.8,21.2,0,136.4
Berkley,270000,4,16.5,17.9,24,28.2,17.8,4,112.3
Berkshire Arts and Technology Charter Public (District),4140000,1,7.3,23.2,17,9.6,7,0.3,65.4
Berkshire Hills,6180000,9,24,26,39.6,68.3,50.4,17,234.3
Berlin-Boylston,6200000,9.8,16.6,39.5,28.3,47.2,30.8,3.5,175.6
Beverly,300000,48,104.8,153.5,153.2,114.8,101.4,32.9,708.5
Billerica,310000,23.1,83.9,134,215.7,152.8,108,23.4,740.8
Blackstone Valley Regional Vocational Technical,8050000,3,24,43,27,41,28.9,9,175.9
Blackstone-Millville,6220000,19,40.3,29.8,34,53.6,33.5,1.8,212.1
